Year,Name,Distance,Elevation Gain,Category,Trail Type,Winner Time,Winner Index
2025,UTMB,174,9900,100M,,19:18:58,950
2024,UTMB,173.3,9525,100M,,19:54:00,932
2023,UTMB,171,9963,100M,,19:37:43,950
2022,UTMB,170.3,10050,100M,,19:49:30,946
2021,UTMB,172.1,10055,100M,,20:45:59,921
2019,UTMB,171.1,10210,100M,,20:19:07,938
2018,UTMB,170,9990,100M,,20:44:16,890
2025,TDS,153,9000,100M,,18:22:17,902
2024,TDS,148,9300,100M,,18:59:36,875
2023,TDS,145,9176,100M,,19:36:35,891
2022,TDS,146.7,8710,100M,,18:37:04,892
2021,TDS,147.2,9035,100M,,18:49:58,887
2025,WSER,162.2,5790,100M,,14:11:25,953
2024,WSER,159.7,5638,100M,,14:13:45,933
2023,WSER,159.9,5610,100M,,14:40:22,921
2022,WSER,161.2,5570,100M,,15:13:48,917
2021,WSER,161.2,5570,100M,,14:46:01,945
2019,WSER,160.7,5360,100M,,14:09:28,966
2025,Hardrock,157.7,9720,100M,,22:31:53,915
2024,Hardrock,157.7,9720,100M,,21:33:06,912
2023,Hardrock,161.8,10365,100M,,23:00:30,891
2022,Hardrock,161.8,10365,100M,,21:36:24,949
2021,Hardrock,161.8,10365,100M,,21:45:50,942
2025,Diagonal,175,10107,100M,,23:31:54,938
2024,Diagonal,175,10107,100M,,23:25:02,925
2023,Diagonal,167.3,9710,100M,,23:21:23,904
2022,Diagonal,168.4,10250,100M,,23:14:47,896
2021,Diagonal,160.2,9377,100M,,23:02:21,869
2025,CCC,101,6050,100K,,10:06:02,941
2024,CCC,101,6050,100K,,10:20:11,936
2023,CCC,100,6156,100K,,10:14:25,941
2022,CCC,99.1,5990,100K,,09:53:02,942
2021,CCC,99.2,6160,100K,,10:23:26,922
2025,OCC,61,3400,50K,,05:00:35,931
2024,OCC,57,3500,50K,,05:11:48,930
2023,OCC,55,3425,50K,,04:44:58,924
2022,OCC,55.7,3581,50K,,05:18:29,920
2021,OCC,56.3,3476,50K,,05:02:57,947
2025,IATF K35,37,2061,50K,,03:17:03,858
2024,IATF K35,35.7,1900,50K,,02:45:05,843
2023,IATF K35,35,1600,50K,,03:21:03,799
2022,IATF K35,32,1700,20K,,02:41:15,816
2025,IATF K110,108.3,5600,100K,,11:13:30,822
2024,IATF K110,110,5600,100K,,11:48:06,752
2023,IATF K110,108,4890,100K,,12:54:28,789
2022,IATF K110,98.9,5070,100K,,10:08:00,855
2021,IATF K110,103.7,5380,100K,,11:37:56,807
2025,Lavaredo 120K,120,5800,100M,,11:49:16,927
2024,Lavaredo 120K,122.3,5857,100M,,11:57:15,927
2023,Lavaredo 120K,122.2,5810,100M,,12:13:04,911
2022,Lavaredo 120K,121.2,5830,100M,,11:56:28,924
2021,Lavaredo 120K,121.2,5770,100M,,12:02:12,916
2025,Chianti,120,5200,100M,,09:59:48,972
2024,Chianti,102.5,4220,100K,,08:40:33,900
2023,Chianti,103,4200,100K,,10:47:44,763
2025,MIUT,117.6,6640,100M,,12:54:52,907
2024,MIUT,116,7090,100M,,13:52:46,884
2023,MIUT,116,7090,100M,,14:01:26,871
2022,MIUT,115,7200,100M,,12:58:14,937
2021,MIUT,116.9,7250,100M,,14:00:36,924
2025,Transvulcania,73,4350,100K,,06:55:36,921
2024,Transvulcania,73,4350,100K,,07:03:10,924
2023,Transvulcania,72.7,4600,100K,,07:02:16,930
2022,Transvulcania,73.1,4259,100K,,07:10:29,923
